PROJECT_NAME,ADDRESS,Construction Completion Date_2,YEARBUILT_properties,Most recent rehab
Bushwick Alliance,272 Jefferson Street Brooklyn NY 11237,7/19/2025,2025,2025
Bushwick Alliance,332 Eldert Street Brooklyn NY 11237,7/19/2025,2025,2025
Bushwick Alliance,63 Stockholm Street Brooklyn NY 11221,7/19/2025,2025,2025
326 Rockaway,"326 Rockaway Ave, Brooklyn, NY 11212",8/2/2025,2025,2025
Baisley Pond (fka JFK Hilton),"143-06 135th Ave, Jamaica, NY, 11436",7/22/2025,2025,2025
Bethany Senior Terraces,610 East 40th Street Brooklyn NY 11203,10/1/2024,2024,2024
RiseBoro TPT Ten,"109-111 Linden Street, Brooklyn, NY 11221",9/1/2024,2024,2024
RiseBoro TPT Ten,"113-115 Linden Street, Brooklyn, NY 11221",9/1/2024,2024,2024
RiseBoro TPT Ten,"135 Menahan Street, Brooklyn, NY, 11237",9/1/2024,2024,2024
RiseBoro TPT Ten,"160 Bleecker Street, Brooklyn, NY, 11221",9/1/2024,2024,2024
RiseBoro TPT Ten,"230 Moffat Street, Brooklyn, NY, 11207",9/1/2024,2024,2024
RiseBoro TPT Ten,"301 Harman Street, Brooklyn, NY, 11237",9/1/2024,2024,2024
The Atrium at Sumner,57 Marcus Garvey Blvd Brooklyn NY 11206,1/30/2024,2024,2024
Hillside 1,"37 Hillside Ave, New York NY 10040",12/13/2023,2022,2022
Casa Pasiva,104 Grove Street Brooklyn NY 11221      ,10/1/2022,1988,2022
Casa Pasiva,110 Grove Street Brooklyn NY 11221,10/1/2022,1988,2022
Casa Pasiva,116 Grove Street Brooklyn NY 11221,10/1/2022,1993,2022
Casa Pasiva,120 Grove Street Brooklyn NY 11221,10/1/2022,1993,2022
Casa Pasiva,160 Harman Street Brooklyn NY 11221,10/1/2022,1995,2022
Casa Pasiva,173 Harman Street Brooklyn NY 11221,10/1/2022,1995,2022
Casa Pasiva,181 Harman Street Brooklyn NY 11221,10/1/2022,1995,2022
Casa Pasiva,75 Linden Street Brooklyn NY 11221,10/1/2022,1993,2022
Casa Pasiva,93-95 Stockholm Street Brooklyn NY 11221,10/1/2022,1995,2022
Woodlawn Senior Living,85 East 233rd Street Bronx NY 10470,9/1/2021,2022,2022
Harry T. Nance Apartments,1860 Eastern Parkway Brooklyn NY 11233,8/19/2021,2021,2021
Sunset 203k,314 Troutman Street Brooklyn NY 11237,7/1/2020,2019,2019
JOE RB Harman,251 Harman Street Brooklyn NY 11237,6/1/2019,1998,2019
JOE RB Harman,73 Linden St Brooklyn NY 11237,6/1/2019,1992,2019
Stammtisch,1285 Greene Avenue Brooklyn NY 11237,9/1/2015,2016,2016
640 Broadway,"640 Broadway, Brooklyn, NY, 11206",5/1/2017,2015,2015
Coretta Scott King,660 Jerome Street Brooklyn NY 11207,9/15/2015,2015,2015
Stammtisch,1116 Willoughby Avenue Brooklyn NY 11237,9/1/2015,2015,2015
Stammtisch,1344 Willoughby Avenue Brooklyn NY 11237,9/1/2015,2015,2015
Stammtisch,1351 Greene Avenue Brooklyn NY 11237,9/1/2015,2015,2015
Stammtisch,1560 Dekalb Avenue Brooklyn NY 11237,9/1/2015,2015,2015
Stammtisch,195 Stockholm Street Brooklyn NY 11237,9/1/2015,2015,2015
Stammtisch,26 Morgan Avenue Brooklyn NY 11237,9/1/2015,2015,2015
Stammtisch,27 Granite Street Brooklyn NY 11207,9/1/2015,2015,2015
Stammtisch,279 Wyckoff Avenue Brooklyn NY 11237,9/1/2015,2015,2015
Stammtisch,299 Wyckoff Avenue Brooklyn NY 11237,9/1/2015,2015,2015
Stammtisch,64 Bleecker Street Brooklyn NY 11237,9/1/2015,2015,2015
Knickerbocker Commons,301 Eldert Street Brooklyn NY 11237,6/1/2015,2014,2014
RBHA,128 Suydam Street Brooklyn NY 11221,1/1/2014,2008,2014
RBHA,135 Bleecker Street Brooklyn NY 11221,1/1/2014,2007,2014
RBHA,1424 Dekalb Avenue Brooklyn NY 11237,1/1/2014,2007,2014
RBHA,1516 Jefferson Avenue Brooklyn NY 11237,1/1/2014,2009,2014
RBHA,181 Stanhope Street Brooklyn NY 11237,1/1/2014,2010,2014
RBHA,194 Jefferson Street Brooklyn NY 11206,1/1/2014,2009,2014
RBHA,238 Suydam Street Brooklyn NY 11237,1/1/2014,2008,2014
RBHA,245 Irving Avenue Brooklyn NY 11237,1/1/2014,2008,2014
RBHA,318 Harman Street Brooklyn NY 11237,1/1/2014,2008,2014
RBHA,320 Grove Street Brooklyn NY 11237,1/1/2014,2008,2014
RBHA,432 Jefferson Street Brooklyn NY 11237,1/1/2014,2008,2014
RBHA,434 Jefferson Street Brooklyn NY 11237,1/1/2014,2008,2014
