Property,Unit,Unit Type,Date Available,Bedrooms,Rent
rbha,647-3B,1bds,3/26/2009,1,0.00
rbha,238-2A,1bds,3/26/2009,1,0.00
rbha,1516-1A,1bds,3/26/2009,1,0.00
rbha,1516-1B,1bds,3/26/2009,1,0.00
rbha,320-2B,1bds,3/26/2009,1,0.00
rbha,320-3B,1bd,3/26/2009,1,0.00
rbha,245-1A,1bds,3/26/2009,1,0.00
rbha,245-2A,1bds,3/26/2009,1,0.00
rbha,128-2A,1bds,6/5/2009,1,0.00
rbha,181-1B,1bd,12/18/2014,0,520.50
baisley,205,BPP0@50,7/22/2025,0,784.00
baisley,214,BPP0@50,7/22/2025,0,784.00
baisley,416,BPP0@50,7/22/2025,0,784.00
baisley,427,BPP0@50,7/22/2025,0,784.00
baisley,723,BPP0@50,7/22/2025,0,784.00
baisley,810,BPP0@50,7/22/2025,0,784.00
baisley,908,BPP0@50,7/22/2025,0,784.00
baisley,1020,BPP0@50,7/22/2025,0,784.00
baisley,1108,BPP0@50,7/22/2025,0,784.00
baisley,203,BPP0@60,7/22/2025,0,996.00
baisley,208,BPP0@60,7/22/2025,0,996.00
baisley,210,BPP0@60,7/22/2025,0,996.00
baisley,216,BPP0@60,7/22/2025,0,996.00
baisley,220,BPP0@60,7/22/2025,0,996.00
baisley,226,BPP0@60,7/22/2025,0,996.00
baisley,229,BPP0@60,7/22/2025,0,996.00
baisley,303,BPP0@60,7/22/2025,0,996.00
baisley,304,BPP0@60,7/22/2025,0,996.00
baisley,307,BPP0@60,7/22/2025,0,996.00
baisley,310,BPP0@60,7/22/2025,0,996.00
baisley,314,BPP0@60,7/22/2025,0,996.00
baisley,320,BPP0@60,7/22/2025,0,996.00
baisley,327,BPP0@60,7/22/2025,0,996.00
baisley,403,BPP0@60,7/22/2025,0,996.00
baisley,407,BPP0@60,7/22/2025,0,996.00
baisley,408,BPP0@60,7/22/2025,0,996.00
baisley,410,BPP0@60,7/22/2025,0,996.00
baisley,420,BPP0@60,7/22/2025,0,996.00
baisley,510,BPP0@60,7/22/2025,0,996.00
baisley,514,BPP0@60,7/22/2025,0,996.00
baisley,520,BPP0@60,7/22/2025,0,996.00
baisley,522,BPP0@60,7/22/2025,0,996.00
baisley,523,BPP0@60,7/22/2025,0,996.00
baisley,527,BPP0@60,7/22/2025,0,996.00
baisley,604,BPP0@60,7/22/2025,0,996.00
baisley,607,BPP0@60,7/22/2025,0,996.00
baisley,610,BPP0@60,7/22/2025,0,996.00
baisley,614,BPP0@60,7/22/2025,0,996.00
baisley,620,BPP0@60,7/22/2025,0,996.00
baisley,623,BPP0@60,7/22/2025,0,996.00
baisley,627,BPP0@60,7/22/2025,0,996.00
baisley,703,BPP0@60,7/22/2025,0,996.00
baisley,707,BPP0@60,7/22/2025,0,996.00
baisley,708,BPP0@60,7/22/2025,0,996.00
baisley,710,BPP0@60,7/22/2025,0,996.00
baisley,714,BPP0@60,7/22/2025,0,996.00
baisley,716,BPP0@60,7/22/2025,0,996.00
baisley,803,BPP0@60,7/22/2025,0,996.00
baisley,804,BPP0@60,7/22/2025,0,996.00
baisley,827,BPP0@60,7/22/2025,0,996.00
baisley,920,BPP0@60,7/22/2025,0,996.00
baisley,922,BPP0@60,7/22/2025,0,996.00
baisley,923,BPP0@60,7/22/2025,0,996.00
baisley,1008,BPP0@60,7/22/2025,0,996.00
baisley,1014,BPP0@60,7/22/2025,0,996.00
baisley,1016,BPP0@60,7/22/2025,0,996.00
baisley,1023,BPP0@60,7/22/2025,0,996.00
baisley,1103,BPP0@60,7/22/2025,0,996.00
baisley,1104,BPP0@60,7/22/2025,0,996.00
baisley,1107,BPP0@60,7/22/2025,0,996.00
baisley,1114,BPP0@60,7/22/2025,0,996.00
baisley,1203,BPP0@60,7/22/2025,0,996.00
baisley,1207,BPP0@60,7/22/2025,0,996.00
baisley,1208,BPP0@60,7/22/2025,0,996.00
baisley,628,BPP1@60,7/22/2025,1,"1,244.00"
baisley,828,BPP1@60,7/22/2025,1,"1,244.00"
baisley,624,BPP2@60,7/22/2025,2,"1,493.00"
baisley,224,BPPSUPER,7/22/2025,3,0.00
baisley,212,BPPHMLS0,7/22/2025,0,"2,335.00"
baisley,213,BPPHMLS0,7/22/2025,0,"2,335.00"
baisley,219,BPPHMLS0,7/22/2025,0,"2,335.00"
baisley,221,BPPHMLS0,7/22/2025,0,"2,335.00"
baisley,301,BPPHMLS0,7/22/2025,0,"2,335.00"
baisley,306,BPPHMLS0,7/22/2025,0,"2,335.00"
baisley,311,BPPHMLS0,7/22/2025,0,"2,335.00"
baisley,317,BPPHMLS0,7/22/2025,0,"2,335.00"
baisley,318,BPPHMLS0,7/22/2025,0,"2,335.00"
baisley,321,BPPHMLS0,7/22/2025,0,"2,335.00"
baisley,405,BPPHMLS0,7/22/2025,0,"2,335.00"
baisley,406,BPPHMLS0,7/22/2025,0,"2,335.00"
baisley,409,BPPHMLS0,7/22/2025,0,"2,335.00"
baisley,411,BPPHMLS0,7/22/2025,0,"2,335.00"
baisley,412,BPPHMLS0,7/22/2025,0,"2,335.00"
baisley,413,BPPHMLS0,7/22/2025,0,"2,335.00"
baisley,415,BPPHMLS0,7/22/2025,0,"2,335.00"
baisley,419,BPPHMLS0,7/22/2025,0,"2,335.00"
baisley,421,BPPHMLS0,7/22/2025,0,"2,335.00"
baisley,422,BPPHMLS0,7/22/2025,0,"2,335.00"
baisley,426,BPPHMLS0,7/22/2025,0,"2,335.00"
baisley,429,BPPHMLS0,7/22/2025,0,"2,335.00"
baisley,512,BPPHMLS0,7/22/2025,0,"2,335.00"
baisley,518,BPPHMLS0,7/22/2025,0,"2,335.00"
baisley,519,BPPHMLS0,7/22/2025,0,"2,335.00"
baisley,526,BPPHMLS0,7/22/2025,0,"2,335.00"
baisley,529,BPPHMLS0,7/22/2025,0,"2,335.00"
baisley,601,BPPHMLS0,7/22/2025,0,"2,335.00"
baisley,605,BPPHMLS0,7/22/2025,0,"2,335.00"
